ingredient,phonetic,flavor,techniques,dishes,pairs_with,volume,tip,possible_substitute,nutritional_profile,Calories,season,botanical_relatives,protein,what_they_are,brands
RHUBARB,,Flavor Affinities,"Techniques: bake, poach, puree, sauté, stew","Dishes


Rhubarb: Steamed Goat’s Milk Cheesecake and Yogurt Sorbet

—Blue Hill (New York City)



Chilled Fall Rhubarb Soup: Santa Barbara Organic Strawberries, Buckwheat Gelato

—Bouley (New York City)



Strawberry and Rhubarb Panna Cotta: Almond Crumble, Vanilla Chantilly, Mimosa Sorbet

—Café Boulud (New York City)



Strawberry-Rhubarb Crumb Pie

—Candle Cafe (New York City)



Rhubarb Slow-Cooked with Celery and Sheep’s Milk Yogurt Sorbet

—Eleven Madison Park (New York City)



Strawberry Rhubarb Crumble, with Lemon and Basil Sorbet

—Natural Selection (Portland, OR)","ALMONDS and almond-flavored cookies or cream

ANGELICA

APPLES and apple juice

apricots

BAKED GOODS, e.g., cakes, pies, tarts

bananas

BERRIES, e.g., blackberries, blueberries, STRAWBERRIES

butter

buttermilk

caramel

cardamom

celery

cheese, e.g., blue, cream, goat, ricotta

cherries

chutneys

CINNAMON

citrus

cloves

coconut cream and coconut milk

compotes, fruit

cream

crème fraîche

crème de cassis

DESSERTS, e.g., cobblers, crisps, crumbles, custards, fools

drinks, esp. sparkling

elderflower syrup

fruit

GINGER

grapefruit, e.g., juice, zest

hazelnuts

HONEY

ice creams

lemons and Meyer lemons, e.g., juice, zest

lime, e.g., juice, zest

mangoes

maple syrup

milk, e.g., goat’s

mint

nutmeg

oats and oatmeal

ORANGE, e.g., juice, zest

peaches

pepper, e.g., black, pink

pineapple, e.g. fruit, juice

pistachios

plums

polenta

pomegranates

puddings, e.g., tapioca

raisins

raspberries and raspberry juice

rose water

salads

sauces

soups, e.g., rhubarb, strawberry, sweet-and-sour

sorbets

sour cream

spinach

star anise

stews

*STRAWBERRIES

SUGAR, e.g., brown

VANILLA

vinegar, e.g., balsamic, fruit, sherry

wine, e.g., red; sparkling, e.g., Champagne; sweet

YOGURT, e.g., sheep’s milk",Volume: loud,"Tip: Never eat rhubarb leaves, which are poisonous.",,Nutritional profile: 78% carbs / 14% protein / 8% fats,"Calories: 25 per 1-cup serving (raw, diced)",Season: spring–summer,,Protein: 1 gram,,
RICE—IN GENERAL,,Flavor Affinities,"Techniques: boil, steam","Dishes


Breakfast Rice Porridge: Brown Sugar, Apples, Almonds, Cranberries, and Spices mixed with a Blend of Rice, served with Lowfat Yogurt

—Canyon Ranch Grill (Las Vegas)","amaranth

American cuisine, esp. Southern and Southwestern

anise seeds

ASIAN CUISINES

basil

bay leaf

BEANS, e.g., black

bell peppers, e.g., red, roasted, stuffed

beverages, e.g., horchata

biryani

broccoli

butter

cabbage, stuffed

cardamom

Caribbean cuisines

carrots

casseroles

cayenne

cheese, Swiss

chervil

chili powder and chili sauce

Chinese cuisine

chives

cilantro

cinnamon

cloves

COCONUT and COCONUT MILK

cream

cumin

curry powder and curries

custard

dill

eggplant

fennel

fruit, dried, e.g., apricots, plums, raisins

garlic

ginger

greens, Asian

Indian cuisine

Italian cuisine

Japanese cuisine

Korean cuisine

leeks

legumes, e.g., lentils

lemon, e.g., juice, zest

lemon thyme

lemongrass

marjoram

Mexican cuisine

Middle Eastern cuisines

milk

mushrooms

nutmeg

nuts, e.g., almonds, pecans, pine nuts, pistachios, walnuts

onions

oranges

oregano, e.g., Mexican

paellas

paprika

parsley

peas

pilafs

pineapples

plantains

puddings

pumpkin

raisins

rhubarb

SAFFRON

sage

salt

savory

sea vegetables

soups

soy sauce

Spanish cuisine

squash, summer

stock, vegetable

stuffed mushrooms or vegetables, e.g., bell peppers, eggplants, tomatoes

sugar, e.g., brown

tamari

tarragon

terrines, vegetable

thyme

tomatoes

turmeric

vanilla

vegetables, e.g., spring

vinegar, rice

yogurt",Volume: quiet,"Tip: The darker the rice, the greater the nutrients (i.e., black > brown > white).",,Nutritional profile: 92% carbs / 7% protein / 1% fat,"Calories: 120 per ½-cup of white rice (medium-grain, cooked)",,,Protein: 2 grams,,
"RICE, ARBORIO (aka RISOTTO)",,Flavor Affinities,"Techniques: Sauté rice in butter or oil until white. Stir while gradually adding hot/boiling liquid (e.g., vegetable stock) and simmering, about 20 minutes.","Dishes


Roasted Artichoke Risotto with Basil Pesto

—The Lodge at Woodloch (Hawley, PA)



Winter Harvest Risotto with Butternut Squash, Cranberries, Shallots, Pumpkin Seeds, and Port Wine Sauce

—The Lodge at Woodloch (Hawley, PA)","artichokes

arugula

ASPARAGUS

basil

beans, e.g., fava, green

beer, e.g., IPA

beets

bell peppers

butter

carrots

cauliflower

celery

chard, Swiss

CHEESE, e.g., blue, feta, Fontina, goat, PARMESAN, pecorino,

ricotta, Taleggio

chiles, e.g., red

chives

corn

fennel

fiddlehead ferns

garlic

garlic, green

greens, e.g., beet

(NORTHERN) ITALIAN CUISINE

juice, vegetable, e.g., cauliflower

kale

leeks

LEMON, e.g., juice, zest

lemon thyme

lime, e.g., juice, zest

maple syrup

mascarpone

mint

MUSHROOMS, e.g., button, chanterelle, cremini, morels, oyster, porcini, shiitake, wild

mustard seeds

nettles

nutmeg

oil, olive

onions, e.g., spring, yellow

paellas

PARSLEY

PEAS

pepper, e.g., black, white

pesto

pine nuts

puddings, rice

radicchio

*RISOTTOS

risotto cakes

SAFFRON

sage

salt, kosher

scallions

shallots

sorrel

spinach

squash, summer or winter, e.g., butternut

STOCK, e.g., mushroom or vegetable

tarragon

thyme

tomatoes

tomatoes, sun-dried

truffles, white

vanilla

vermouth

vinegar, balsamic

WINE, e.g., dry red or white

zucchini

zucchini blossoms",Volume: quiet,"Tips: Let the seasons inspire your risotto pairings, e.g., basil and tomato in summer, wild mushrooms in autumn. Try the same flavor pairings with “risottos” made from other grains, e.g., barley, farro. Look for brown Arborio rice, which is higher in nutrients.","Possible substitutes: baldo rice, carnaroli rice (which, while less widely available, makes the creamiest—and arguably the best—risotto), vialone nano rice",,,,,,,
"RICE, BASMATI, and BROWN BASMATI RICE",,Flavor Affinities,"Techniques: boil, simmer (about 2 minutes), steam",,"ALMONDS

apricots, e.g., dried

basil

bay leaf

beans, e.g., fava, mung

bell peppers, esp. red

biryani

butter

buttermilk

CARDAMOM, e.g., black, green

carrots

cashews

cauliflower

cherries, dried

chervil

chickpeas

chiles, esp. dried red

chives

cilantro

cinnamon

cloves

coconut and coconut milk

cumin

currants

CURRIES, e.g., Indian

dates

dill

fennel seeds

garam masala

garlic

ghee

ginger

honey

INDIAN CUISINE

lemon, e.g., juice, zest

lime

mangoes

mascarpone

milk

mint

mustard seeds, e.g., black

oil, e.g., canola, olive, safflower

onions, e.g., green, red, yellow

orange, e.g., juice, zest

Pakistani cuisine

parsley

pasta, e.g., orzo

peas

pilafs

pine nuts

pistachios

puddings, rice

raisins, e.g., golden

saffron

salads, e.g., rice

salt, e.g., kosher, sea

scallions

seeds, pumpkin

soups

squash, winter, e.g., acorn

stock, vegetable

strawberries

stuffings

sugar, e.g., brown

tarragon

turmeric

vanilla",Volume: quiet–moderate,"Tips: Rinse basmati rice before using. Soak it for 10 minutes before cooking in enough water to “reach your first knuckle,” according to Hemant Mathur of Tulsi.",,,,,,,,Brand: Falak
"RICE, BLACK (aka FORBIDDEN RICE)",,Flavor Affinities,,,"anise seeds

Asian cuisines

avocados

bananas

basil

beets

bell peppers, e.g., red, yellow

bok choy

cabbage, e.g., red

carrots

cashews

celery

cheese, e.g., Parmesan

chickpeas

chiles, e.g., chipotle, jalapeño

Chinese cuisine

chives

cilantro

cinnamon

COCONUT and coconut butter/ cream/milk

desserts

garlic

ginger

greens, e.g., collard

kimchi

lettuces

lime

mangoes

maple syrup

milk, dairy or nondairy, e.g., almond, coconut, hemp, rice, soy

mirin

mushrooms, porcini

nutmeg

nuts, e.g., cashews, peanuts

oil, e.g., olive, peanut, sesame

onions, e.g., red

onions, green

orange, e.g., juice, zest

peanuts

peas

pepper, black

pilafs

PUDDINGS, e.g., rice

pumpkin seeds

risottos

salads, e.g., rice

salt

scallions

Southeast Asian cuisines

soy sauce

soybeans, green

spinach

star anise

stir-fries

stock, vegetable

sugar, brown, palm

sushi

tempeh

Thai cuisine

tofu

vanilla

wine, white",Volume: quiet–moderate,,,,,,,,,
"RICE, BOMBA (see also SPANISH CUISINE)",,,,,"asparagus

garlic

mushrooms

oil, olive

olives, e.g., green

onions, yellow

PAELLAS

paprika, e.g., smoked, sweet

parsley

saffron

Spanish cuisine

stock, vegetable

tomatoes

wine, dry white",,Tip: Bomba rice absorbs 30 percent more liquid than other rices.,,,,,,,,
"RICE, BROWN—IN GENERAL",,Flavor Affinities,,"Dishes


Vegetable Stir-Fry: Wok-Sautéed String Beans, Broccoli Florets, Zucchini, Cremini Mushrooms, Bell Pepper, and Baby Bok Choy with Organic Tamari Brown Rice

—Josie’s (New York City)



Bi Bim Bop: Hot Pepper Miso and Vegetables over Brown Rice and Sunny Side Up Egg

—Mana Food Bar (Chicago)



Cilantro-Peanut Stir Fry: Stir-Fried Broccoli, Red and Yellow Peppers, Mushrooms, Mung Sprouts, Carrots, and Green Onions with a Spicy Cilantro-Peanut-Ginger-Lime Sauce, over Organic Brown Rice, topped with Roasted Peanuts

—Seva (Ann Arbor, MI)



Teriyaki Brown Rice Bowl, Asian Vegetable, Sesame, and Avocado (+ Optional Tofu)

—True Food Kitchen (Santa Monica)","basil

bay leaf

bell peppers, e.g., red

bibimbap

broccoli and broccoli rabe

burdock

cabbage, e.g., green, savoy, stuffed

carrots

cayenne

cereals, hot breakfast, e.g., with fruit and nuts

chili, vegetarian

cilantro

coriander

cucumbers

edamame

eggs

fennel seeds

fried rice

garlic

GINGER

GRAINS, other whole, e.g., barley, buckwheat, farro, millet, oats, rye, wheat berries, wild rice

greens

kale

LEGUMES, e.g., adzuki or black beans, chickpeas, lentils

lemon, e.g., juice, zest

lime

macrobiotic cuisine

“meatballs” (e.g., brown rice + onion + parsley + walnuts)

miso

MUSHROOMS, e.g., shiitake

nuts, e.g., almonds, walnuts

oil, e.g., canola, olive, sesame

onions, e.g., green, red

PARSLEY

peas

pilafs

puddings

raisins

“risottos”

salads, e.g., grain

scallions

sea vegetables, e.g., hiziki, kombu

seitan

sesame seeds, e.g., black, and sesame paste

soups, e.g., tomato

SOY SAUCE

SPINACH

sprouts, e.g., bean, pea

squash, e.g., butternut

stir-fries

stock, vegetable

sweeteners, e.g., mirin, brown sugar

tahini

tamari

tarragon

thyme

TOFU and tofu skin

turmeric

vegetables, esp. root

veggie burgers

vinegar, e.g., brown, umeboshi

walnuts

watercress",Volume: quiet–moderate,"Tips: Because brown rice takes so long to cook, make sure you cook extra. You can freeze the leftovers, then reheat the frozen rice in about 10 minutes on the stove. If you’re short on time, quick brown rice cooks in about 10–15 minutes.",,Nutritional profile: 87% carbs / 7% protein / 6% fat,"Calories: 220 per 1-cup serving (medium-grain, cooked)",,,Protein: 5 grams,,Brand: Lundberg Organic
"RICE, BROWN—BASMATI (see RICE, BASMATI)",,,,,,,,,,,,,,,
"RICE, BROWN—JASMINE (see RICE, JASMINE)",,,,,,,,,,,,,,,
"RICE, BROWN—LONG-GRAIN",,"Flavor: earthy, with a fluffy texture and separate grains",,,"casseroles

pilafs

salads

soups

stir-fries

stuffings",,,,,,,,,,
"RICE, BROWN—SHORT-GRAIN",,"Flavor: nutty, with a creamy, soft yet chewy and sticky texture",,,"croquettes

desserts

paella

puddings

rice balls or rice croquettes

risotto

salads, e.g., grain, green

sushi, nori rolls

VEGGIE BURGERS",,,,,,,,,,
"RICE, CARNAROLI (aka RISOTTO; see recommendations for RICE, ARBORIO)",,,,,,,,,,,,,,,
"RICE, JASMINE (see also THAI CUISINE)",,Flavor Affinities,,,"bay leaf

cashews

cilantro

coconut and coconut milk

cranberries, dried

curries

dates

desserts

fennel seeds

garlic

ginger

grapes

lemon, e.g., juice, zest

lemongrass

melon, e.g., cantaloupe

milk, coconut

orange, e.g., juice

peanuts

pecans

pesto

pilafs

plantains

salads

seitan

THAI CUISINE

tofu

walnuts

yogurt",Volume: moderate,,,,,,,,,
"RICE, LONG-GRAIN (see also RICE, BASMATI and RICE, JASMINE)",,,,,"curries

fried rice

pilafs

salads

stews

stir-fries",,"Tip: “Long-grain” refers to grains that are at least three times as long as they are wide. Opt for brown long-grain rice, which is higher in fiber than white rice, for more nutrients.",,,,,,,,
"RICE, SHORT-GRAIN (see also RICE, ARBORIO and RICE, SUSHI)",,,,,,,"Tips: “Short-grain” refers to grains that are less than twice as long as they are wide. Opt for brown short-grain rice, which is higher in fiber than white rice, for more nutrients.",,,,,,,,
"RICE, STICKY",,Flavor Affinities,"Techniques: boil, then steam",,"Asian cuisines

banana leaves

bananas

bibimbap

carrots

coconut and coconut milk

cucumber

desserts, Asian

gomashio

Japanese cuisine

kimchi

Korean cuisine

mango

mushrooms, shiitake

oil, e.g., grapeseed, sesame

pineapple

scallions

sprouts, mung bean

strawberries

sugar, e.g., brown

sushi

Thai cuisine

vanilla

zucchini",Volume: quiet,Tip: Soak sticky rice overnight before steaming.,,,,,,,,Brand: Nishiki
"RICE, SUSHI",,Flavor Affinities,"Techniques: boil, steam",,,,"Tips: Consider using sticky brown sushi rice to get more nutrients. Instead of using ordinary sushi rice, Beyond Sushi in New York City uses a delicious six-grain combination of (hull-less) barley, (pearl) barley, black rice, (short-grain) brown rice, red rice, and rye berries in its nori rolls and vegan sushi.",,,,,,,,
"RICE, WILD",,Flavor Affinities,"Techniques: pressure-cook (20–25 minutes), simmer (covered, 35–60 minutes), steam",,"almonds

AMERICAN CUISINE

apples, apple cider, and apple juice

artichoke hearts

asparagus

baked goods, e.g., breads, cakes

bay leaf

beans, e.g., green, white

bell peppers, e.g., red, yellow

bulgur

butter

cardamom

carrots

casseroles

celery

celery leaves and celery seeds

celery root

cheese, e.g., blue, feta, goat

chives

cinnamon

corn

crepes

dates

dill

eggs, e.g., frittatas, omelets

FRUIT, DRIED, e.g., cherries, CRANBERRIES

GARLIC

ghee

grains, other, e.g., barley, rice

greens, e.g., collard

hazelnuts

leeks

LEMON, e.g., juice, zest

maple syrup

Midwestern American cuisine

MUSHROOMS, e.g., chanterelle, cremini, morel, porcini, shiitake, white

mustard

Native American cuisine

nuts, e.g., macadamia

OIL, e.g., hazelnut, olive, walnut

ONIONS, e.g., green, red, white, yellow

orange, e.g., juice, zest

oregano

pancakes and waffles

parsley

pecans

pepper, black

pilafs

PINE NUTS

pumpkin

raisins

RICES, OTHER, e.g., basmati, brown, long-grain brown, red

sage

salads, e.g., wild rice

salt, e.g., kosher, sea

scallions

seeds, e.g., sunflower

shallots

soups, e.g., mushroom

sour cream

soy sauce

spinach

squash, summer and winter, e.g., acorn, butternut, kabocha

stock, vegetable

stuffings, e.g., cabbage, mushrooms, peppers, pumpkins, squash

tamari

tangerines

tarragon

thyme

vinegar, e.g., champagne, red wine, white balsamic, white wine

WALNUTS

watercress

wine, dry white

zucchini",Volume: moderate–loud,Tips: Rinse wild rice thoroughly before cooking. Combine with other rice(s) to lessen its chewiness.,,Nutritional profile: 83% carbs / 14% protein / 3% fats,Calories: 170 per 1-cup serving (cooked),Season: autumn,,Protein: 7 grams,,
"RICOTTA (see CHEESE, RICOTTA)",,,,,,,,,,,,,,,
"RISOTTO (see recommendations for RICE, ARBORIO)",,,,,,,,,,,,,,,
"ROMAINE (see LETTUCE, ROMAINE)",,,,,,,,,,,,,,,
"ROOT VEGETABLES—IN GENERAL, or MIXED (see also BEETS, CARROTS, PARSNIPS, RUTABAGAS, SWEET POTATOES, TURNIPS, etc.)",,,,,,,,,,,,,,,
ROSEMARY,,Flavor Affinities,,,"apples

apricots

asparagus

BAKED GOODS, e.g., breads, cakes, cookies, focaccia, scones, shortbread

barley

bay leaf

BEANS, e.g., cannellini, dried, fava, green, white

beets

bell peppers

bouquet garni

bread crumbs

breads

Brussels sprouts

butter

cabbage, e.g., savoy

carrots

cauliflower

celery

cheese, e.g., cheddar, chèvre, cream, feta, goat, Parmesan, ricotta

chives

citrus

cream

desserts

eggplant

eggs and egg dishes

fennel and fennel seeds

figs

French cuisine, esp. Provençal

fruit, e.g., poached

*GARLIC

gin

grains

grapefruit

grapes

grilled dishes, e.g., vegetables

herbes de Provence

honey

Italian cuisine

kebobs, vegetable

lavender

leeks

LEMON, e.g., juice, zest

lentils

lime

lovage

marinades

marjoram

Mediterranean cuisines

milk

mint

mushrooms, e.g., morel, oyster, porcini, portobello, shiitake

oil, olive

olives

onions

orange, e.g., juice, zest

oregano

parsley

parsnips

pastas, e.g., orzo

pears

peas, e.g., split

pepper, black

pine nuts

pizza

polenta

POTATOES

pumpkin

quinoa

radicchio

rice, e.g., Arborio

risotto

sage

salad dressings

salads, e.g., bean, fruit

SAUCES, e.g., barbecue, cream, pasta, tomato

savory

scallions

shallots

sherry

SOUPS, e.g., bean, minestrone, tomato

spinach

squash, summer and winter, e.g., acorn, butternut

stews

stock, vegetable

strawberries

stuffings

sweet potatoes

thyme

tofu

TOMATOES, tomato juice, and tomato sauce

vegetables, esp. grilled, kebabs, roasted

vinegar, e.g., balsamic, red wine

wine

yogurt

zucchini",Volume: moderately loud (winter)–loud (summer),Tip: Add early in the cooking process.,,,,Season: winter (when rosemary is milder; it is stronger in summer),"Botanical relatives: basil, lavender, marjoram, mint, oregano, sage, summer savory, thyme",,,
RUTABAGAS,,Flavor Affinities,"Techniques: bake (at 350°F for 50–60 minutes), blanch, boil, braise, deep-fry, grate, hash, julienne, marinate, mash, pressure-cook, puree, roast, sauté, shred, steam (10–15 minutes), stew, stir-fry","Dishes


Glazed Chestnuts Rutabaga-Mace Puree, Wild Mushrooms Fricassee with Horseradish

—DANIEL (New York City)



Roasted Rutabaga Salad, Grilled Trumpet Mushrooms, Charred Onion, Pistachio

—Vedge (Philadelphia)","agave nectar

allspice

almonds

APPLES, apple cider, and apple juice

artichokes, Jerusalem

baked goods, e.g., pies, tarts

barley

basil

bay leaf

beets

bok choy

broccoli

butter

caraway seeds

cardamom

CARROTS

casseroles

cayenne

celery

celery root

cheese, e.g., blue, cream, goat, Gruyère, Parmesan

chestnuts

chives

cinnamon

coconut milk

coriander

cream

cumin

dill

eggs, e.g., frittatas

farro

fennel and fennel seeds

garlic

ginger

greens, e.g., bitter, collard, dandelion

hash, e.g., served with eggs

hazelnuts

herbes de Provence

honey

horseradish

kale

leeks

lemon, e.g., juice

lentils

lime

mace

maple syrup

marjoram

mint

miso

mushrooms, wild

mustard

nutmeg

nuts, e.g., peanuts, pistachios

OIL, e.g., hazelnut, nut, olive, sunflower, vegetable

onions, e.g., red, yellow

orange, e.g., juice, zest

oregano

paprika, e.g., smoked

PARSLEY

parsley root

parsnips

pears

pepper, e.g., black, white

POTATOES, e.g., MASHED

purees

quinoa

raisins

rosemary

saffron

sage

salads

salt, sea

savory

scallions

Scottish cuisine

SOUPS, e.g., rutabaga

sour cream

squash, winter, e.g., butternut

star anise

stews

stir-fries

stock, e.g., root vegetable, vegetable

sugar, e.g., brown

Swedish cuisine

sweet potatoes

tarragon

THYME

tofu

tomatoes

TURNIPS

vanilla

vegetables, root

vinegar, e.g., balsamic, cider, malt, sherry

watercress",Volume: moderate (esp. cooked)–loud (esp. raw),"Tips: Do not undercook. The longer it cooks, the sweeter the flavor, but do not overcook. Add a touch of sweetness (e.g., sugar) to counteract bitterness. Puree with quieter vegetables, e.g., potatoes.",Possible substitute: turnips,Nutritional profile: 86% carbs / 9% protein / 5% fats,"Calories: 70 per 1-cup serving (cooked, cubed)",Season: autumn–spring,"Botanical relatives: broccoli, Brussels sprouts, cabbage, cauliflower, collard greens, horseradish, kale, kohlrabi, land cress, radishes, turnips, watercress",Protein: 2 grams,What they are: root vegetables,
RYE BERRIES (aka WHOLE RYE),,Flavor Affinities,"Techniques: simmer (covered, about 60 minutes), steam","Dishes


Rye Spaetzle, Kraut, Smoked Caramelized Onion, Caraway, Stout Foam

—Green Zebra (Chicago)","anise

apples

baked goods, e.g., breads

beans, e.g., black, kidney

beets

bell peppers, e.g., red

breads, e.g., pumpernickel, rye

cabbage, red

CARAWAY SEEDS

carrots

casseroles

celery

cereals, hot breakfast

cheese, e.g., goat, Gruyère, halloumi

chervil

chickpeas

chili, vegetarian

cinnamon

corn

dates

(Northern) European cuisines

fennel

garlic

GRAINS, OTHER, less chewy, e.g., barley, brown rice, quinoa

honey

leeks

lentils, e.g., red

maple syrup

molasses

mustard, e.g., Dijon

Northern European cuisines

nuts, e.g., pecans, walnuts

oil, e.g., olive, sesame, walnut

onions, e.g., caramelized, red

orange, e.g., zest

parsley

parsnips

peas

pilafs

potatoes

raisins

“risottos”

Russian cuisine

sage

salads, e.g., grain

sauerkraut

Scandinavian cuisines

soups, e.g., borscht

stews

stock, vegetable

stuffings

sugar, brown

sunflower seeds

thyme

tomatoes

vegetables

vinegar, e.g., apple cider, balsamic",Volume: moderate–loud,Tips: Rinse rye berries well. Soak overnight. Use in blends with other less chewy grains.,"Possible substitutes: triticale, wheat berries",Nutritional profile: 81% carbs / 13% protein / 6% fats,Calories: 150 per ¼-cup serving (dry),,"Botanical relatives: barley, corn, spelt, triticale, wheat",Protein: 6 grams,What they are: whole grain,
SAFFRON,,Flavor Affinities,,"Dishes


Saffron Cheesecake: Rhubarb Ice Cream, Basil Gel, Black Olive-Pistachio Crumble

—Vedge (Philadelphia)","baked goods, e.g., breads, cakes, scones

basil

bell peppers, e.g., roasted

biryani

butter

cardamom

cayenne

chard

chives

cinnamon

couscous

curries

desserts

eggplant

fennel

garlic

ginger

(Northern) Indian cuisine

lemon, e.g., juice, zest

marjoram

mayonnaise

Mediterranean cuisines

Moroccan cuisine

nuts, e.g., almonds, pistachios

oil, olive

orange, e.g., juice, zest

PAELLA, vegetarian

parsley

pasta, e.g., linguini

pepper, e.g., black

pilafs

potatoes

puddings, rice

raisins

*RICE

*RISOTTOS

rose water

salad dressings

sauces, e.g., cream, tomato

shallots

soups

Spanish cuisine

stews, e.g., bean, vegetable

tomatoes

yogurt

zucchini","Volume: quieter (yellow)–louder (orange, red)",Tips: Add later in the cooking process; saffron is activated by the heat of cooking. This bright yellow/orange-hued spice is used for its color as well as its flavor. A little saffron goes a very long way—never add more than is necessary.,,,,,,,,
SAGE,,Flavor Affinities,,,"artichokes

asparagus

baked goods, e.g., biscuits, corn bread, focaccia

BEANS—in general, and e.g., borlotti, dried, pinto, WHITE

bread and bread crumbs

butter and brown butter

casseroles

CHEESE, e.g., Brie, cheddar, feta, Fontina, Gruyère, Parmesan, ricotta

chestnuts

corn

cornmeal, e.g., as corn bread

eggplant

eggs, e.g., frittatas, scrambled

fennel

GARLIC and garlic scapes

ghee

grains

gravies

juniper berries

leeks

lemon

lentils

marjoram

Mediterranean cuisines

mint

mushrooms, e.g., wild

OIL, OLIVE

ONIONS, e.g., yellow

parsley

PASTA, e.g., gnocchi, lasagna, orecchiette, spaghetti

peas, e.g., green, split

pepper, black

“pestos”

pine nuts

pizza

POTATOES

pumpkin

rice

ricotta, e.g., baked

risotto

rosemary

rutabaga

salads, e.g., bean, herb

sauces

savory

SOUPS, e.g., butternut squash, lentil, pumpkin, sweet potato, white bean

SQUASH, WINTER, e.g., acorn, butternut

stews

stock, vegetable

STUFFINGS

thyme

tomatoes

vegetables, e.g., root

vinegar

walnuts",Volume: moderate–loud,Tip: Add near the end of the cooking process.,,,,Season: autumn (savory)–spring (minty),"Botanical relatives: basil, lavender, marjoram, mint, oregano, rosemary, summer savory, thyme",,,
SALAD DRESSINGS,,Flavor Affinities,,,,,"Tips: Always start the process of making salad dressing with the vinegar and/or citrus (e.g., lemon, lime, orange) juice and seasonings (e.g., citrus zest, herbs; minced garlic, onions, or shallots; spices), and slowly whisk in any oil. If too much oil is added, the flavor balance will be lost. For more Omega-3s, consider substituting flaxseed or walnut oil for part of the extra-virgin olive oil. With citrus vinaigrettes, use a lighter vinegar, e.g., champagne, rice, or sherry. Those looking to minimize or eliminate oil can base salad dressings on other liquids or pastes, such as buttermilk, fruit juice, kefir, nut butters, tahini, vegetable juice or stock, vinegar, yogurt, and/or water—or even pureed fruit, silken tofu, or vegetables (e.g., avocados). To make vegetarian dressings creamier, add a little cream cheese, fresh goat cheese, kefir, mascarpone, or ricotta; vegans can blend with nutritional yeast or silken tofu.

Not only great for salads, the combinations listed in this section can also be used for dips, dipping sauces, marinades, sautés, or stir-fries—or drizzled over hot vegetables, Asian noodles, or pastas.",,,,,,,,
SALSIFY,,Flavor Affinities,"Techniques: bake, blanch, boil (about 10–20 minutes), braise (about 45 minutes), fry, glaze, mash, pan-roast, poach, puree, raw, roast, sauté, simmer, steam, stew","Dishes


Smoked Salsify Risotto, Grilled Treviso, Orange Supreme, Fresh Dill

—Green Zebra (Chicago)



Caramelized Salsify “Potage”: Watercress Glaze, Sultanas, and Madeira Mousseline

—Per Se (New York City)","anise

apples

artichokes

artichokes, Jerusalem

bell peppers, e.g., red

bread crumbs

burdock

butter and brown butter

carrots

cayenne

celery

celery root

chard, e.g., Swiss

cheese, e.g., Parmesan, sheep’s milk

chervil

chives

coriander

cream

crème fraîche

currants

eggs

endive, Belgian

fennel

garlic

ghee

grains, e.g., pearled barley, quinoa, rice

gratins

hashes

hazelnuts

herbs

leeks

LEMON, e.g., juice

lovage

mushrooms, e.g., button, oyster, morel, wild

mustard, Dijon

nuts, e.g., almonds, pecans, pine nuts, walnuts

OIL, e.g., olive, pecan, safflower, sunflower, walnut

onions

onions, green

orange, e.g., juice, zest

PARSLEY

parsnips

pasta, e.g., fettuccine

pepper, black

polenta

pomegranates

potatoes

purees

quince

risottos

sage

salad dressings, e.g., vinaigrettes

salads

salt, e.g., kosher, truffle

sauces, e.g., hollandaise

scallions

SHALLOTS

sorrel

SOUPS, e.g., salsify, vegetable

stews

stock, e.g., mushroom, vegetable

thyme

tomatoes

truffles, black

vinegar, e.g., champagne, white wine

wine, white

yogurt",Volume: moderate,Tips: Remove inedible peel. Soak in lemon water to avoid browning. Cook until very tender.,,Nutritional profile: 87% carbs / 11% protein / 2% fats,Calories: 95 per 1-cup serving (boiled),Season: autumn–winter,"Botanical relatives: artichokes, chamomile, chicory, dandelion greens, endive, lettuces (e.g., Bibb, iceberg, romaine), radicchio, tarragon",Protein: 4 grams,,
SALT—IN GENERAL,,,,,,,,,,,,,,,
"SALT, BLACK",,Flavor Affinities,,,"apples

bananas

chats

chili pepper flakes

chutneys

cucumbers

fruits

honey

Indian cuisine

kiwi

lemon, e.g., juice

oranges

pickles

raitas

salad, vegan “egg”

sauces, e.g., “cheese”

tofu, e.g., omelets, scrambles

tomatoes

yogurt",Volume: very loud,"Tips: Look for Indian kala namak. Adds a boiled egg flavor to vegan dishes (e.g., tofu scrambles, “egg salads” made with tofu). Caution: A little goes a long way! Grind it fine to use in the smallest doses.",,,,,,,,
"SALT, HIMALAYAN",,,,,,,,,,,,,,,
"SALT, KOSHER",,,,,,Volume: loud,Tip: Use kosher salt as an everyday salt for bolder-flavored or heavier dishes.,,,,,,,,
"SALT, SEA",,,,,,Volume: moderate,"Tip: Use sea salt as an everyday salt for most dishes, especially to flavor dishes that are served cold.",,,,,,,,
"SALT, SMOKED",,"Flavor: salty, with notes of smoke",,,"beans

lentils

potatoes, e.g., baked",,,,,,,,,,
"SALT, TRUFFLE",,"Flavor: salty, with earthy notes of truffles",,,"celery root

eggs and egg dishes

popcorn

potatoes

risottos

salads

vegetables, e.g., root",,Tip: Add just before serving.,,,,,,,,
